Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2",0805,3,10n,
"C10, C13, C17, C18, C4, C9",0805,6,100n,
"C11, C14, C16, C21",0805,4,10u,
"C12, C20, C25",0805,3,220n,
C15,CP_Elec_6.3x5.7,1,100u,
"C22, C23, C24, C5",0805,4,1u,
C3,0805,1,47p (optional),
D4,Osram_BPW34S-SMD,1,BPW34-SMD,
"D5, D6, D7",1206,3,LED,
FB1,0603,1,FerriteBead,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
"Q5, Q7, Q8",SOT-23-3,3,BS170,
Q6,SOT-23,1,BSS84,
"R1, R2, R28, R3, R4",0805,5,1k,
"R11, R12, R26, R27, R8",0805,5,10k,
R13,0805,1,18k,
R14,0805,1,220,
R15,0805,1,360,
"R18, R19",0805,2,4.7k,
"R29, R30, R34, R36",0805,4,100,
"R31, R35, R37",0805,3,47k,
R32,0805,1,33,
R33,0805,1,1,
"R5, R6",0805,2,5k1,
R7,0805,1,22,
TP1,TestPoint_Pad_D2.5mm,1,MCP_RX,
TP17,TestPoint_Pad_D2.5mm,1,TestPoint,
TP2,TestPoint_Pad_D2.5mm,1,MCP_TX,
U1,XIAO-ESP32-C3-DIP-SMD,1,XIAO-ESP32-C3-DIP,
"U12, U13",SOT-23-5,2,LM321,
U3,SOT-223-3_TabPin2,1,LM317_SOT-223,
U4,SOIC-16W_7.5x10.3mm_P1.27mm,1,ISO6742,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP2221AxSL,
U6,TSSOP20_PW_TEX,1,ADS131M02IPWR,
U8,Converter_DCDC_TRACO_TEA1-xxxx_THT,1,TEA 1-0505,
U9,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm,1,TLV172IDCK,
Y1,Crystal_SMD_7050-4Pin_7.0x5.0mm,1,XO32,
