Designator,Mid X,Mid Y,Rotation,Layer
C1,83.0125,-60.5,0.0,top
C10,45.25,-4.33,0.0,top
C11,36.2,-24.9575,180.0,top
C12,13.975,-18.07,90.0,top
C13,81.6,-38.7,180.0,top
C14,42.2,-51.2625,90.0,top
C15,51.1,-23.9925,270.0,top
C16,70.9375,-69.5,0.0,top
C17,53.68,-43.11,180.0,top
C18,50.08,-39.1,180.0,top
C19,33.5,-53.5,45.0,top
C2,86.7875,-60.5,180.0,top
C20,36.2,-26.9475,180.0,top
C21,42.5,-25.2,180.0,top
C22,44.2,-51.2625,90.0,top
C23,80.75,-52.7,270.0,top
C24,80.75,-56.4625,90.0,top
C25,81.65,-49.5,180.0,top
C3,65.0,-74.4,0.0,top
C4,68.2,-43.9,90.0,top
C5,70.3,-55.8,180.0,top
C9,33.85,-4.33,180.0,top
D4,50.0,-70.0,180.0,top
D5,50.0,-60.0,270.0,top
D6,41.1,-70.0,0.0,top
D7,50.0,-80.0,90.0,top
FB1,43.2,-53.9625,0.0,top
J1,7.51,-3.56,180.0,top
J2,18.6,-3.4,180.0,top
Q5,50.0,-54.1,0.0,top
Q6,39.9,-59.8,45.0,top
Q7,35.5,-70.0,90.0,top
Q8,44.6,-82.5,90.0,top
R1,81.95,-63.4,90.0,top
R11,91.2,-55.7,180.0,top
R12,91.2,-53.7,180.0,top
R13,65.0,-76.4,0.0,top
R14,71.7,-44.8,0.0,top
R15,71.7,-42.8,180.0,top
R18,47.75,-13.97,0.0,top
R19,31.75,-13.97,180.0,top
R2,83.9,-63.385,90.0,top
R26,53.821222,-39.151973,180.0,top
R27,53.6,-41.1,180.0,top
R28,47.2,-40.15,270.0,top
R29,38.0,-57.8,225.0,top
R3,87.8,-63.4,90.0,top
R30,70.9,-8.6,180.0,top
R31,50.0,-51.2,0.0,top
R32,42.71303,-62.748385,315.0,top
R33,45.407107,-65.407107,315.0,top
R34,70.9,-6.1,180.0,top
R35,32.7,-70.0,90.0,top
R36,70.9,-11.1,180.0,top
R37,44.6,-79.5,180.0,top
R4,85.85,-63.4,90.0,top
R5,19.9,-10.435,270.0,top
R6,16.9,-10.435,270.0,top
R7,70.9,-67.5,180.0,top
R8,23.875,-21.87,90.0,top
TP1,27.8,-16.9,0.0,top
TP17,43.5,-41.4875,180.0,top
TP2,28.0,-8.1,0.0,top
U1,83.4,-11.2185,90.0,top
U12,50.05,-42.225,90.0,top
U13,35.7,-55.7,135.0,top
U3,70.5,-50.3,90.0,top
U4,39.6,-10.835,270.0,top
U5,18.775,-19.07,90.0,top
U6,85.375002,-54.54725,90.0,top
U8,39.63,-22.4925,90.0,top
U9,65.03,-70.6,270.0,top
Y1,82.55,-44.05,270.0,top
